response_id,session_id,prompt_name,prompt_hash,probability,raw_content,error,elapsed_sec,attempts
kdwihol,kmerrzd,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.35,"{
  ""dimensions"": {
    ""EKS"": {
      ""score"": 2,
      ""label"": ""mixed entry knowledge""
    },
    ""PR"": {
      ""score"": 2,
      ""label"": ""mixed prerequisite readiness""
    },
    ""EPE"": {
      ""score"": 3,
      ""label"": ""strong prior exposure""
    },
    ""LTD"": {
      ""score"": 2,
      ""label"": ""mixed topic manageability""
    },
    ""CAL"": {
      ""score"": 1,
      ""label"": ""weak conceptual manageability""
    },
    ""PBL"": {
      ""score"": 1,
      ""label"": ""weak procedural manageability""
    },
    ""LCB"": {
      ""score"": 3,
      ""label"": ""strong language accessibility""
    },
    ""ELC"": {
      ""score"": 2,
      ""label"": ""mixed expressive adequacy""
    },
    ""WMS"": {
      ""score"": 1,
      ""label"": ""weak memory manageability""
    },
    ""NCB"": {
      ""score"": 1,
      ""label"": ""weak notation manageability""
    },
    ""TFF"": {
      ""score"": 2,
      ""label"": ""mixed format familiarity""
    },
    ""DGC"": {
      ""score"": null,
      ""label"": ""not observable""
    },
    ""AL"": {
      ""score"": 3,
      ""label"": ""strong emotional readiness""
    },
    ""MGO"": {
      ""score"": 3,
      ""label"": ""strong learning motivation""
    },
    ""RIE"": {
      ""score"": 4,
      ""label"": ""exceptional instructional exposure""
    },
    ""ESD"": {
      ""score"": 2,
      ""label"": ""mixed environmental stability""
    }
  },
  ""achievement"": {
    ""probability"": 0.35
  }
}",,23.01,1
dauxfyr,gczysty,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.85,"{
  ""dimensions"": {
    ""EKS"": {
      ""score"": 3,
      ""label"": ""strong entry knowledge""
    },
    ""PR"": {
      ""score"": 3,
      ""label"": ""strong prerequisite readiness""
    },
    ""EPE"": {
      ""score"": 3,
      ""label"": ""strong prior exposure""
    },
    ""LTD"": {
      ""score"": 4,
      ""label"": ""exceptional topic manageability""
    },
    ""CAL"": {
      ""score"": 3,
      ""label"": ""strong conceptual manageability""
    },
    ""PBL"": {
      ""score"": 3,
      ""label"": ""strong procedural manageability""
    },
    ""LCB"": {
      ""score"": 2,
      ""label"": ""mixed language accessibility""
    },
    ""ELC"": {
      ""score"": 3,
      ""label"": ""strong expressive adequacy""
    },
    ""WMS"": {
      ""score"": 3,
      ""label"": ""strong memory manageability""
    },
    ""NCB"": {
      ""score"": 3,
      ""label"": ""strong notation manageability""
    },
    ""TFF"": {
      ""score"": 3,
      ""label"": ""strong format familiarity""
    },
    ""DGC"": {
      ""score"": null,
      ""label"": ""not observable""
    },
    ""AL"": {
      ""score"": 4,
      ""label"": ""exceptional emotional readiness""
    },
    ""MGO"": {
      ""score"": 3,
      ""label"": ""strong learning motivation""
    },
    ""RIE"": {
      ""score"": 4,
      ""label"": ""exceptional instructional exposure""
    },
    ""ESD"": {
      ""score"": 2,
      ""label"": ""mixed environmental stability""
    }
  },
  ""achievement"": {
    ""probability"": 0.85
  }
}",,22.45,1
hhntuet,gitfpzq,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.85,"{
  ""dimensions"": {
    ""EKS"": {
      ""score"": 3,
      ""label"": ""strong entry knowledge""
    },
    ""PR"": {
      ""score"": 3,
      ""label"": ""strong prerequisite readiness""
    },
    ""EPE"": {
      ""score"": 4,
      ""label"": ""exceptional prior exposure""
    },
    ""LTD"": {
      ""score"": 3,
      ""label"": ""strong topic manageability""
    },
    ""CAL"": {
      ""score"": 2,
      ""label"": ""mixed conceptual manageability""
    },
    ""PBL"": {
      ""score"": 3,
      ""label"": ""strong procedural manageability""
    },
    ""LCB"": {
      ""score"": 3,
      ""label"": ""strong language accessibility""
    },
    ""ELC"": {
      ""score"": 2,
      ""label"": ""mixed expressive adequacy""
    },
    ""WMS"": {
      ""score"": 3,
      ""label"": ""strong memory manageability""
    },
    ""NCB"": {
      ""score"": 3,
      ""label"": ""strong notation manageability""
    },
    ""TFF"": {
      ""score"": 4,
      ""label"": ""exceptional format familiarity""
    },
    ""DGC"": {
      ""score"": null,
      ""label"": ""not observable""
    },
    ""AL"": {
      ""score"": 3,
      ""label"": ""strong emotional readiness""
    },
    ""MGO"": {
      ""score"": 3,
      ""label"": ""strong learning motivation""
    },
    ""RIE"": {
      ""score"": 4,
      ""label"": ""exceptional instructional exposure""
    },
    ""ESD"": {
      ""score"": 2,
      ""label"": ""mixed environmental stability""
    }
  },
  ""achievement"": {
    ""probability"": 0.85
  }
}",,23.48,1
gclnknm,kzqayug,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.75,"{
  ""dimensions"": {
    ""EKS"": {
      ""score"": 3,
      ""label"": ""strong entry knowledge""
    },
    ""PR"": {
      ""score"": 3,
      ""label"": ""strong prerequisite readiness""
    },
    ""EPE"": {
      ""score"": 2,
      ""label"": ""mixed prior exposure""
    },
    ""LTD"": {
      ""score"": 3,
      ""label"": ""strong topic manageability""
    },
    ""CAL"": {
      ""score"": 3,
      ""label"": ""strong conceptual manageability""
    },
    ""PBL"": {
      ""score"": 2,
      ""label"": ""mixed procedural manageability""
    },
    ""LCB"": {
      ""score"": 3,
      ""label"": ""strong language accessibility""
    },
    ""ELC"": {
      ""score"": 2,
      ""label"": ""mixed expressive adequacy""
    },
    ""WMS"": {
      ""score"": 2,
      ""label"": ""mixed memory manageability""
    },
    ""NCB"": {
      ""score"": 3,
      ""label"": ""strong notation manageability""
    },
    ""TFF"": {
      ""score"": 3,
      ""label"": ""strong format familiarity""
    },
    ""DGC"": {
      ""score"": null,
      ""label"": ""not observable""
    },
    ""AL"": {
      ""score"": 3,
      ""label"": ""strong emotional readiness""
    },
    ""MGO"": {
      ""score"": 4,
      ""label"": ""exceptional learning motivation""
    },
    ""RIE"": {
      ""score"": 2,
      ""label"": ""mixed instructional exposure""
    },
    ""ESD"": {
      ""score"": 1,
      ""label"": ""weak environmental stability""
    }
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,21.71,1
iahatcl,mbtiehl,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.65,"{
  ""dimensions"": {
    ""EKS"": {
      ""score"": 1,
      ""label"": ""weak entry knowledge""
    },
    ""PR"": {
      ""score"": 2,
      ""label"": ""mixed prerequisite readiness""
    },
    ""EPE"": {
      ""score"": 2,
      ""label"": ""mixed prior exposure""
    },
    ""LTD"": {
      ""score"": 3,
      ""label"": ""strong topic manageability""
    },
    ""CAL"": {
      ""score"": 3,
      ""label"": ""strong conceptual manageability""
    },
    ""PBL"": {
      ""score"": 2,
      ""label"": ""mixed procedural manageability""
    },
    ""LCB"": {
      ""score"": 3,
      ""label"": ""strong language accessibility""
    },
    ""ELC"": {
      ""score"": 2,
      ""label"": ""mixed expressive adequacy""
    },
    ""WMS"": {
      ""score"": 2,
      ""label"": ""mixed memory manageability""
    },
    ""NCB"": {
      ""score"": 1,
      ""label"": ""weak notation manageability""
    },
    ""TFF"": {
      ""score"": 3,
      ""label"": ""strong format familiarity""
    },
    ""DGC"": {
      ""score"": null,
      ""label"": ""not observable""
    },
    ""AL"": {
      ""score"": 4,
      ""label"": ""exceptional emotional readiness""
    },
    ""MGO"": {
      ""score"": 3,
      ""label"": ""strong learning motivation""
    },
    ""RIE"": {
      ""score"": 3,
      ""label"": ""strong instructional exposure""
    },
    ""ESD"": {
      ""score"": 2,
      ""label"": ""mixed environmental stability""
    }
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,21.97,1
gtpzatd,hckfagf,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.65,"{
  ""dimensions"": {
    ""EKS"": {
      ""score"": 2,
      ""label"": ""mixed entry knowledge""
    },
    ""PR"": {
      ""score"": 3,
      ""label"": ""strong prerequisite readiness""
    },
    ""EPE"": {
      ""score"": 3,
      ""label"": ""strong prior exposure""
    },
    ""LTD"": {
      ""score"": 2,
      ""label"": ""mixed topic manageability""
    },
    ""CAL"": {
      ""score"": 2,
      ""label"": ""mixed conceptual manageability""
    },
    ""PBL"": {
      ""score"": 2,
      ""label"": ""mixed procedural manageability""
    },
    ""LCB"": {
      ""score"": 3,
      ""label"": ""strong language accessibility""
    },
    ""ELC"": {
      ""score"": 2,
      ""label"": ""mixed expressive adequacy""
    },
    ""WMS"": {
      ""score"": 1,
      ""label"": ""weak memory manageability""
    },
    ""NCB"": {
      ""score"": 2,
      ""label"": ""mixed notation manageability""
    },
    ""TFF"": {
      ""score"": 3,
      ""label"": ""strong format familiarity""
    },
    ""DGC"": {
      ""score"": null,
      ""label"": ""not observable""
    },
    ""AL"": {
      ""score"": 3,
      ""label"": ""strong emotional readiness""
    },
    ""MGO"": {
      ""score"": 3,
      ""label"": ""strong learning motivation""
    },
    ""RIE"": {
      ""score"": 4,
      ""label"": ""exceptional instructional exposure""
    },
    ""ESD"": {
      ""score"": 2,
      ""label"": ""mixed environmental stability""
    }
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,22.26,1
mmtdpna,bjlsops,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.75,"{
  ""dimensions"": {
    ""EKS"": {""score"": 2, ""label"": ""mixed entry knowledge""},
    ""PR"": {""score"": 3, ""label"": ""strong prerequisite readiness""},
    ""EPE"": {""score"": 1, ""label"": ""weak prior exposure""},
    ""LTD"": {""score"": 3, ""label"": ""strong topic manageability""},
    ""CAL"": {""score"": 2, ""label"": ""mixed conceptual manageability""},
    ""PBL"": {""score"": 3, ""label"": ""strong procedural manageability""},
    ""LCB"": {""score"": 3, ""label"": ""strong language accessibility""},
    ""ELC"": {""score"": 2, ""label"": ""mixed expressive adequacy""},
    ""WMS"": {""score"": 2, ""label"": ""mixed memory manageability""},
    ""NCB"": {""score"": 2, ""label"": ""mixed notation manageability""},
    ""TFF"": {""score"": 3, ""label"": ""strong format familiarity""},
    ""DGC"": {""score"": null, ""label"": ""not observable""},
    ""AL"": {""score"": 4, ""label"": ""exceptional emotional readiness""},
    ""MGO"": {""score"": 4, ""label"": ""exceptional learning motivation""},
    ""RIE"": {""score"": 3, ""label"": ""strong instructional exposure""},
    ""ESD"": {""score"": 2, ""label"": ""mixed environmental stability""}
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,20.81,1
iilkmwq,lsmftoc,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.65,"{
  ""dimensions"": {
    ""EKS"": {
      ""score"": 2,
      ""label"": ""mixed entry knowledge""
    },
    ""PR"": {
      ""score"": 3,
      ""label"": ""strong prerequisite readiness""
    },
    ""EPE"": {
      ""score"": 4,
      ""label"": ""exceptional prior exposure""
    },
    ""LTD"": {
      ""score"": 3,
      ""label"": ""strong topic manageability""
    },
    ""CAL"": {
      ""score"": 2,
      ""label"": ""mixed conceptual manageability""
    },
    ""PBL"": {
      ""score"": 2,
      ""label"": ""mixed procedural manageability""
    },
    ""LCB"": {
      ""score"": 3,
      ""label"": ""strong language accessibility""
    },
    ""ELC"": {
      ""score"": 2,
      ""label"": ""mixed expressive adequacy""
    },
    ""WMS"": {
      ""score"": 1,
      ""label"": ""weak memory manageability""
    },
    ""NCB"": {
      ""score"": 2,
      ""label"": ""mixed notation manageability""
    },
    ""TFF"": {
      ""score"": 3,
      ""label"": ""strong format familiarity""
    },
    ""DGC"": {
      ""score"": null,
      ""label"": ""not observable""
    },
    ""AL"": {
      ""score"": 3,
      ""label"": ""strong emotional readiness""
    },
    ""MGO"": {
      ""score"": 4,
      ""label"": ""exceptional learning motivation""
    },
    ""RIE"": {
      ""score"": 4,
      ""label"": ""exceptional instructional exposure""
    },
    ""ESD"": {
      ""score"": 2,
      ""label"": ""mixed environmental stability""
    }
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,23.34,1
lpnvfzp,lffabab,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.85,"{
  ""dimensions"": {
    ""EKS"": {""score"": 3, ""label"": ""strong entry knowledge""},
    ""PR"": {""score"": 3, ""label"": ""strong prerequisite readiness""},
    ""EPE"": {""score"": 4, ""label"": ""exceptional prior exposure""},
    ""LTD"": {""score"": 3, ""label"": ""strong topic manageability""},
    ""CAL"": {""score"": 3, ""label"": ""strong conceptual manageability""},
    ""PBL"": {""score"": 3, ""label"": ""strong procedural manageability""},
    ""LCB"": {""score"": 3, ""label"": ""strong language accessibility""},
    ""ELC"": {""score"": 2, ""label"": ""mixed expressive adequacy""},
    ""WMS"": {""score"": 3, ""label"": ""strong memory manageability""},
    ""NCB"": {""score"": 3, ""label"": ""strong notation manageability""},
    ""TFF"": {""score"": 3, ""label"": ""strong format familiarity""},
    ""DGC"": {""score"": null, ""label"": ""not observable""},
    ""AL"": {""score"": 4, ""label"": ""exceptional emotional readiness""},
    ""MGO"": {""score"": 4, ""label"": ""exceptional learning motivation""},
    ""RIE"": {""score"": 4, ""label"": ""exceptional instructional exposure""},
    ""ESD"": {""score"": 2, ""label"": ""mixed environmental stability""}
  },
  ""achievement"": {
    ""probability"": 0.85
  }
}",,18.36,1
nmfsaln,hggezne,D16,2cba3dce059cb12516bab5cf4488981976bf492ee37b974bef69bdb802027e30,0.55,"{
  ""dimensions"": {
    ""EKS"": {""score"": 1, ""label"": ""weak entry knowledge""},
    ""PR"": {""score"": 2, ""label"": ""mixed prerequisite readiness""},
    ""EPE"": {""score"": 3, ""label"": ""strong prior exposure""},
    ""LTD"": {""score"": 2, ""label"": ""mixed topic manageability""},
    ""CAL"": {""score"": 2, ""label"": ""mixed conceptual manageability""},
    ""PBL"": {""score"": 1, ""label"": ""weak procedural manageability""},
    ""LCB"": {""score"": 3, ""label"": ""strong language accessibility""},
    ""ELC"": {""score"": 2, ""label"": ""mixed expressive adequacy""},
    ""WMS"": {""score"": 1, ""label"": ""weak memory manageability""},
    ""NCB"": {""score"": 1, ""label"": ""weak notation manageability""},
    ""TFF"": {""score"": 2, ""label"": ""mixed format familiarity""},
    ""DGC"": {""score"": null, ""label"": ""not observable""},
    ""AL"": {""score"": 3, ""label"": ""strong emotional readiness""},
    ""MGO"": {""score"": 3, ""label"": ""strong learning motivation""},
    ""RIE"": {""score"": 4, ""label"": ""exceptional instructional exposure""},
    ""ESD"": {""score"": 2, ""label"": ""mixed environmental stability""}
  },
  ""achievement"": {
    ""probability"": 0.55
  }
}",,15.58,1
