response_id,session_id,prompt_name,prompt_hash,probability,raw_content,error,elapsed_sec,attempts
kdwihol,kmerrzd,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.35,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 1, ""label"": ""weak reasoning validity""},
    ""LGC"": {""score"": 2, ""label"": ""mixed objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""SLD"": {""score"": 0, ""label"": ""minimal support independence""},
    ""TAC"": {""score"": 0, ""label"": ""minimal answer independence""},
    ""LOA"": {""score"": 2, ""label"": ""mixed objective alignment""},
    ""IEO"": {""score"": 1, ""label"": ""weak evidence opportunities""},
    ""PIT"": {""score"": 2, ""label"": ""mixed improvement trajectory""},
    ""SFS"": {""score"": 0, ""label"": ""minimal scaffold fading""},
    ""IFU"": {""score"": 2, ""label"": ""mixed feedback uptake""},
    ""FT"": {""score"": 1, ""label"": ""weak feedback transfer""},
    ""EKS"": {""score"": 1, ""label"": ""weak entry knowledge""},
    ""PR"": {""score"": 1, ""label"": ""weak prerequisite readiness""},
    ""EPE"": {""score"": 2, ""label"": ""mixed prior exposure""},
    ""LTD"": {""score"": 1, ""label"": ""weak topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.35
  }
}",,27.88,1
dauxfyr,gczysty,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.78,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 3, ""label"": ""strong reasoning validity""},
    ""LGC"": {""score"": 2, ""label"": ""mixed objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 2, ""label"": ""mixed answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 3, ""label"": ""strong evidence opportunities""},
    ""PIT"": {""score"": 3, ""label"": ""strong improvement trajectory""},
    ""SFS"": {""score"": 2, ""label"": ""mixed scaffold fading""},
    ""IFU"": {""score"": 3, ""label"": ""strong feedback uptake""},
    ""FT"": {""score"": 2, ""label"": ""mixed feedback transfer""},
    ""EKS"": {""score"": 3, ""label"": ""strong entry knowledge""},
    ""PR"": {""score"": 3, ""label"": ""strong prerequisite readiness""},
    ""EPE"": {""score"": 4, ""label"": ""exceptional prior exposure""},
    ""LTD"": {""score"": 3, ""label"": ""strong topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.78
  }
}",,18.79,1
hhntuet,gitfpzq,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.78,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 3, ""label"": ""strong reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 2, ""label"": ""mixed transfer performance""},
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 2, ""label"": ""mixed answer independence""},
    ""LOA"": {""score"": 4, ""label"": ""exceptional objective alignment""},
    ""IEO"": {""score"": 3, ""label"": ""strong evidence opportunities""},
    ""PIT"": {""score"": 3, ""label"": ""strong improvement trajectory""},
    ""SFS"": {""score"": 2, ""label"": ""mixed scaffold fading""},
    ""IFU"": {""score"": 3, ""label"": ""strong feedback uptake""},
    ""FT"": {""score"": 2, ""label"": ""mixed feedback transfer""},
    ""EKS"": {""score"": 3, ""label"": ""strong entry knowledge""},
    ""PR"": {""score"": 3, ""label"": ""strong prerequisite readiness""},
    ""EPE"": {""score"": 4, ""label"": ""exceptional prior exposure""},
    ""LTD"": {""score"": 3, ""label"": ""strong topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.78
  }
}",,19.66,1
gclnknm,kzqayug,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.75,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 2, ""label"": ""mixed objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""SLD"": {""score"": 3, ""label"": ""strong support independence""},
    ""TAC"": {""score"": 3, ""label"": ""strong answer independence""},
    ""LOA"": {""score"": 2, ""label"": ""mixed objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""PIT"": {""score"": 3, ""label"": ""strong improvement trajectory""},
    ""SFS"": {""score"": 3, ""label"": ""strong scaffold fading""},
    ""IFU"": {""score"": 3, ""label"": ""strong feedback uptake""},
    ""FT"": {""score"": 2, ""label"": ""mixed feedback transfer""},
    ""EKS"": {""score"": 3, ""label"": ""strong entry knowledge""},
    ""PR"": {""score"": 3, ""label"": ""strong prerequisite readiness""},
    ""EPE"": {""score"": 4, ""label"": ""exceptional prior exposure""},
    ""LTD"": {""score"": 3, ""label"": ""strong topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,18.07,1
iahatcl,mbtiehl,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.45,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 1, ""label"": ""weak reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 0, ""label"": ""minimal transfer performance""},
    ""SLD"": {""score"": 1, ""label"": ""weak support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""PIT"": {""score"": 2, ""label"": ""mixed improvement trajectory""},
    ""SFS"": {""score"": 1, ""label"": ""weak scaffold fading""},
    ""IFU"": {""score"": 3, ""label"": ""strong feedback uptake""},
    ""FT"": {""score"": 1, ""label"": ""weak feedback transfer""},
    ""EKS"": {""score"": 2, ""label"": ""mixed entry knowledge""},
    ""PR"": {""score"": 2, ""label"": ""mixed prerequisite readiness""},
    ""EPE"": {""score"": 3, ""label"": ""strong prior exposure""},
    ""LTD"": {""score"": 2, ""label"": ""mixed topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.45
  }
}",,18.07,1
gtpzatd,hckfagf,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.75,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 2, ""label"": ""mixed answer independence""},
    ""LOA"": {""score"": 4, ""label"": ""exceptional objective alignment""},
    ""IEO"": {""score"": 3, ""label"": ""strong evidence opportunities""},
    ""PIT"": {""score"": 3, ""label"": ""strong improvement trajectory""},
    ""SFS"": {""score"": 2, ""label"": ""mixed scaffold fading""},
    ""IFU"": {""score"": 4, ""label"": ""exceptional feedback uptake""},
    ""FT"": {""score"": 2, ""label"": ""mixed feedback transfer""},
    ""EKS"": {""score"": 3, ""label"": ""strong entry knowledge""},
    ""PR"": {""score"": 3, ""label"": ""strong prerequisite readiness""},
    ""EPE"": {""score"": 4, ""label"": ""exceptional prior exposure""},
    ""LTD"": {""score"": 2, ""label"": ""mixed topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,18.4,1
mmtdpna,bjlsops,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.72,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 2, ""label"": ""mixed transfer performance""},
    ""SLD"": {""score"": 1, ""label"": ""weak support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""PIT"": {""score"": 3, ""label"": ""strong improvement trajectory""},
    ""SFS"": {""score"": 1, ""label"": ""weak scaffold fading""},
    ""IFU"": {""score"": 3, ""label"": ""strong feedback uptake""},
    ""FT"": {""score"": 2, ""label"": ""mixed feedback transfer""},
    ""EKS"": {""score"": 2, ""label"": ""mixed entry knowledge""},
    ""PR"": {""score"": 2, ""label"": ""mixed prerequisite readiness""},
    ""EPE"": {""score"": 3, ""label"": ""strong prior exposure""},
    ""LTD"": {""score"": 3, ""label"": ""strong topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.72
  }
}",,21.35,1
iilkmwq,lsmftoc,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.65,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 2, ""label"": ""mixed answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 3, ""label"": ""strong evidence opportunities""},
    ""PIT"": {""score"": 3, ""label"": ""strong improvement trajectory""},
    ""SFS"": {""score"": 2, ""label"": ""mixed scaffold fading""},
    ""IFU"": {""score"": 3, ""label"": ""strong feedback uptake""},
    ""FT"": {""score"": 2, ""label"": ""mixed feedback transfer""},
    ""EKS"": {""score"": 2, ""label"": ""mixed entry knowledge""},
    ""PR"": {""score"": 2, ""label"": ""mixed prerequisite readiness""},
    ""EPE"": {""score"": 3, ""label"": ""strong prior exposure""},
    ""LTD"": {""score"": 2, ""label"": ""mixed topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,19.44,1
lpnvfzp,lffabab,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.85,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 3, ""label"": ""strong reasoning validity""},
    ""LGC"": {""score"": 2, ""label"": ""mixed objective coverage""},
    ""NTP"": {""score"": 2, ""label"": ""mixed transfer performance""},
    ""SLD"": {""score"": 3, ""label"": ""strong support independence""},
    ""TAC"": {""score"": 3, ""label"": ""strong answer independence""},
    ""LOA"": {""score"": 4, ""label"": ""exceptional objective alignment""},
    ""IEO"": {""score"": 3, ""label"": ""strong evidence opportunities""},
    ""PIT"": {""score"": 3, ""label"": ""strong improvement trajectory""},
    ""SFS"": {""score"": 3, ""label"": ""strong scaffold fading""},
    ""IFU"": {""score"": 4, ""label"": ""exceptional feedback uptake""},
    ""FT"": {""score"": 3, ""label"": ""strong feedback transfer""},
    ""EKS"": {""score"": 3, ""label"": ""strong entry knowledge""},
    ""PR"": {""score"": 3, ""label"": ""strong prerequisite readiness""},
    ""EPE"": {""score"": 4, ""label"": ""exceptional prior exposure""},
    ""LTD"": {""score"": 3, ""label"": ""strong topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.85
  }
}",,18.9,1
nmfsaln,hggezne,ABCD4,bcd7625456cf06037f8ce5e935b179654d5cbd9334d70f26e0a9ae1e78695569,0.45,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 1, ""label"": ""weak reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""SLD"": {""score"": 0, ""label"": ""minimal support independence""},
    ""TAC"": {""score"": 0, ""label"": ""minimal answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""PIT"": {""score"": 2, ""label"": ""mixed improvement trajectory""},
    ""SFS"": {""score"": 1, ""label"": ""weak scaffold fading""},
    ""IFU"": {""score"": 3, ""label"": ""strong feedback uptake""},
    ""FT"": {""score"": 1, ""label"": ""weak feedback transfer""},
    ""EKS"": {""score"": 1, ""label"": ""weak entry knowledge""},
    ""PR"": {""score"": 2, ""label"": ""mixed prerequisite readiness""},
    ""EPE"": {""score"": 3, ""label"": ""strong prior exposure""},
    ""LTD"": {""score"": 2, ""label"": ""mixed topic manageability""}
  },
  ""achievement"": {
    ""probability"": 0.45
  }
}",,15.96,1
